product,date,sales,dept,year,type,model
Ablyze,140301,140.9991849,???????? ????????,1403,forecast,ETS
Ablyze,140302,163.9937291,???????? ????????,1403,forecast,ETS
Ablyze,140303,197.345053,???????? ????????,1403,forecast,ETS
Ablyze,140304,232.0047331,???????? ????????,1403,forecast,ETS
Ablyze,140305,210.3324864,???????? ????????,1403,forecast,ETS
Ablyze,140306,215.6627035,???????? ????????,1403,forecast,ETS
Ablyze,140307,206.3313522,???????? ????????,1403,forecast,ETS
Ablyze,140308,247.3429406,???????? ????????,1403,forecast,ETS
Ablyze,140309,231.9928746,???????? ????????,1403,forecast,ETS
Ablyze,140310,243.3436582,???????? ????????,1403,forecast,ETS
Ablyze,140311,261.6837843,???????? ????????,1403,forecast,ETS
Ablyze,140312,268.6580272,???????? ????????,1403,forecast,ETS
Ablyze,140401,209.6676349,???????? ????????,1404,forecast,ETS
Ablyze,140402,232.6621791,???????? ????????,1404,forecast,ETS
Ablyze,140403,266.013503,???????? ????????,1404,forecast,ETS
Activage,140301,9283.375012,????,1403,forecast,ETS
Activage,140302,9852.011951,????,1403,forecast,ETS
Activage,140303,10420.64889,????,1403,forecast,ETS
Activage,140304,10989.28583,????,1403,forecast,ETS
Activage,140305,11557.92277,????,1403,forecast,ETS
Activage,140306,12126.55971,????,1403,forecast,ETS
Activage,140307,12695.19665,????,1403,forecast,ETS
Activage,140308,13263.83359,????,1403,forecast,ETS
Activage,140309,13832.47053,????,1403,forecast,ETS
Activage,140310,14401.10746,????,1403,forecast,ETS
Activage,140311,14969.7444,????,1403,forecast,ETS
Activage,140312,15538.38134,????,1403,forecast,ETS
Activage,140401,16107.01828,????,1404,forecast,ETS
Activage,140402,16675.65522,????,1404,forecast,ETS
Activage,140403,17244.29216,????,1404,forecast,ETS
Alcarisa 16,140301,164.387853,??????,1403,forecast,Prophet
Alcarisa 16,140302,170.6203068,??????,1403,forecast,Prophet
Alcarisa 16,140303,177.5205235,??????,1403,forecast,Prophet
Alcarisa 16,140304,184.1981525,??????,1403,forecast,Prophet
Alcarisa 16,140305,191.0983692,??????,1403,forecast,Prophet
Alcarisa 16,140306,197.7759982,??????,1403,forecast,Prophet
Alcarisa 16,140307,204.6762149,??????,1403,forecast,Prophet
Alcarisa 16,140308,211.5764316,??????,1403,forecast,Prophet
Alcarisa 16,140309,218.2540606,??????,1403,forecast,Prophet
Alcarisa 16,140310,225.1542773,??????,1403,forecast,Prophet
Alcarisa 16,140311,231.8319063,??????,1403,forecast,Prophet
Alcarisa 16,140312,238.732123,??????,1403,forecast,Prophet
Alcarisa 16,140401,245.6323397,??????,1404,forecast,Prophet
Alcarisa 16,140402,251.8647934,??????,1404,forecast,Prophet
Alcarisa 16,140403,258.7650101,??????,1404,forecast,Prophet
Alcarisa 16,140301,164.387853,??????,1403,forecast,Prophet
Alcarisa 16,140302,170.6203068,??????,1403,forecast,Prophet
Alcarisa 16,140303,177.5205235,??????,1403,forecast,Prophet
Alcarisa 16,140304,184.1981525,??????,1403,forecast,Prophet
Alcarisa 16,140305,191.0983692,??????,1403,forecast,Prophet
Alcarisa 16,140306,197.7759982,??????,1403,forecast,Prophet
Alcarisa 16,140307,204.6762149,??????,1403,forecast,Prophet
Alcarisa 16,140308,211.5764316,??????,1403,forecast,Prophet
Alcarisa 16,140309,218.2540606,??????,1403,forecast,Prophet
Alcarisa 16,140310,225.1542773,??????,1403,forecast,Prophet
Alcarisa 16,140311,231.8319063,??????,1403,forecast,Prophet
Alcarisa 16,140312,238.732123,??????,1403,forecast,Prophet
Alcarisa 16,140401,245.6323397,??????,1404,forecast,Prophet
Alcarisa 16,140402,251.8647934,??????,1404,forecast,Prophet
Alcarisa 16,140403,258.7650101,??????,1404,forecast,Prophet
Alcarisa 20,140301,337.9139874,??????,1403,forecast,Prophet
Alcarisa 20,140302,351.1617754,??????,1403,forecast,Prophet
Alcarisa 20,140303,365.8289692,??????,1403,forecast,Prophet
Alcarisa 20,140304,380.0230277,??????,1403,forecast,Prophet
Alcarisa 20,140305,394.6902215,??????,1403,forecast,Prophet
Alcarisa 20,140306,408.88428,??????,1403,forecast,Prophet
Alcarisa 20,140307,423.5514739,??????,1403,forecast,Prophet
Alcarisa 20,140308,438.2186677,??????,1403,forecast,Prophet
Alcarisa 20,140309,452.4127262,??????,1403,forecast,Prophet
Alcarisa 20,140310,467.07992,??????,1403,forecast,Prophet
Alcarisa 20,140311,481.2739785,??????,1403,forecast,Prophet
Alcarisa 20,140312,495.9411723,??????,1403,forecast,Prophet
Alcarisa 20,140401,510.6083662,??????,1404,forecast,Prophet
Alcarisa 20,140402,523.8561541,??????,1404,forecast,Prophet
Alcarisa 20,140403,538.5233479,??????,1404,forecast,Prophet
Alcarisa 24,140301,496.7674287,??????,1403,forecast,Prophet
Alcarisa 24,140302,515.713268,??????,1403,forecast,Prophet
Alcarisa 24,140303,536.6890186,??????,1403,forecast,Prophet
Alcarisa 24,140304,556.9881321,??????,1403,forecast,Prophet
Alcarisa 24,140305,577.9638827,??????,1403,forecast,Prophet
Alcarisa 24,140306,598.2629962,??????,1403,forecast,Prophet
Alcarisa 24,140307,619.2387468,??????,1403,forecast,Prophet
Alcarisa 24,140308,640.2144975,??????,1403,forecast,Prophet
Alcarisa 24,140309,660.513611,??????,1403,forecast,Prophet
Alcarisa 24,140310,681.4893616,??????,1403,forecast,Prophet
Alcarisa 24,140311,701.7884751,??????,1403,forecast,Prophet
Alcarisa 24,140312,722.7642257,??????,1403,forecast,Prophet
Alcarisa 24,140401,743.7399763,??????,1404,forecast,Prophet
Alcarisa 24,140402,762.6858156,??????,1404,forecast,Prophet
Alcarisa 24,140403,783.6615662,??????,1404,forecast,Prophet
Alcarisa 28,140301,899.6192811,??????,1403,forecast,Prophet
Alcarisa 28,140302,934.1514518,??????,1403,forecast,Prophet
Alcarisa 28,140303,972.383498,??????,1403,forecast,Prophet
Alcarisa 28,140304,1009.382252,??????,1403,forecast,Prophet
Alcarisa 28,140305,1047.614298,??????,1403,forecast,Prophet
