product,date,sales
Ablyze,140003,10
Ablyze,140004,49
Ablyze,140005,67
Ablyze,140006,83
Ablyze,140007,93
Ablyze,140008,116
Ablyze,140009,131
Ablyze,140010,167
Ablyze,140011,221
Ablyze,140012,260
Ablyze,140101,296
Ablyze,140102,346
Ablyze,140103,396
Ablyze,140104,486
Ablyze,140105,546
Ablyze,140106,586
Ablyze,140107,646
Ablyze,140108,775
Ablyze,140109,871
Ablyze,140110,986
Ablyze,140111,1066
Ablyze,140112,1221
Ablyze,140201,1261
Ablyze,140202,1333
Ablyze,140203,1453
Ablyze,140204,1608
Ablyze,140205,1749
Ablyze,140206,1928
Ablyze,140207,2065
Ablyze,140208,2243
Ablyze,140209,2416
Ablyze,140210,2583
Ablyze,140211,2822
Ablyze,140212,3018
Ablyze,140301,3052
Ablyze,140302,3176
Activage,140101,0
Activage,140102,0
Activage,140103,0
Activage,140104,0
Activage,140105,0
Activage,140106,0
Activage,140107,0
Activage,140108,67
Activage,140109,602
Activage,140110,1617
Activage,140111,3262
Activage,140112,5312
Activage,140201,6302
Activage,140202,8627
Activage,140203,12178
Activage,140204,17331
Activage,140205,21622
Activage,140206,26081
Activage,140207,30857
Activage,140208,38409
Activage,140209,45475
Activage,140210,54727
Activage,140211,62105
Activage,140212,68858
Activage,140301,73318
Activage,140302,76484
Alcarisa 16,140101,0
Alcarisa 16,140102,0
Alcarisa 16,140103,0
Alcarisa 16,140104,0
Alcarisa 16,140105,0
Alcarisa 16,140106,0
Alcarisa 16,140107,0
Alcarisa 16,140108,0
Alcarisa 16,140109,0
Alcarisa 16,140110,0
Alcarisa 16,140111,0
Alcarisa 16,140112,0
Alcarisa 16,140201,1
Alcarisa 16,140202,1
Alcarisa 16,140203,2
Alcarisa 16,140204,15
Alcarisa 16,140205,20
Alcarisa 16,140206,34
Alcarisa 16,140207,50
Alcarisa 16,140208,131
Alcarisa 16,140209,235
Alcarisa 16,140210,273
Alcarisa 16,140211,383
Alcarisa 16,140212,534
Alcarisa 16,140301,762
Alcarisa 16,140302,764
Alcarisa 20,140101,0
Alcarisa 20,140102,0
Alcarisa 20,140103,0
Alcarisa 20,140104,0
Alcarisa 20,140105,0
Alcarisa 20,140106,0
Alcarisa 20,140107,0
Alcarisa 20,140108,0
Alcarisa 20,140109,0
Alcarisa 20,140110,0
Alcarisa 20,140111,0
Alcarisa 20,140112,0
Alcarisa 20,140201,1
Alcarisa 20,140202,1
Alcarisa 20,140203,2
Alcarisa 20,140204,13
Alcarisa 20,140205,54
Alcarisa 20,140206,76
Alcarisa 20,140207,86
Alcarisa 20,140208,155
Alcarisa 20,140209,260
Alcarisa 20,140210,344
Alcarisa 20,140211,680
Alcarisa 20,140212,805
Alcarisa 20,140301,915
Alcarisa 20,140302,929
Alcarisa 24,140101,0
Alcarisa 24,140102,0
Alcarisa 24,140103,0
Alcarisa 24,140104,0
Alcarisa 24,140105,0
Alcarisa 24,140106,0
Alcarisa 24,140107,0
Alcarisa 24,140108,0
Alcarisa 24,140109,0
Alcarisa 24,140110,0
Alcarisa 24,140111,0
Alcarisa 24,140112,0
Alcarisa 24,140201,1
Alcarisa 24,140202,1
Alcarisa 24,140203,8
Alcarisa 24,140204,20
Alcarisa 24,140205,41
Alcarisa 24,140206,133
Alcarisa 24,140207,200
Alcarisa 24,140208,439
Alcarisa 24,140209,563
Alcarisa 24,140210,755
Alcarisa 24,140211,1132
Alcarisa 24,140212,1498
Alcarisa 24,140301,1728
