product,date,sales
Ablyze,140001,0
Ablyze,140002,0
Ablyze,140003,10
Ablyze,140004,39
Ablyze,140005,18
Ablyze,140006,16
Ablyze,140007,10
Ablyze,140008,23
Ablyze,140009,15
Ablyze,140010,36
Ablyze,140011,54
Ablyze,140012,39
Ablyze,140101,36
Ablyze,140102,50
Ablyze,140103,50
Ablyze,140104,90
Ablyze,140105,60
Ablyze,140106,40
Ablyze,140107,60
Ablyze,140108,129
Ablyze,140109,96
Ablyze,140110,115
Ablyze,140111,80
Ablyze,140112,155
Ablyze,140201,40
Ablyze,140202,72
Ablyze,140203,120
Ablyze,140204,155
Ablyze,140205,141
Ablyze,140206,179
Ablyze,140207,137
Ablyze,140208,178
Ablyze,140209,173
Ablyze,140210,167
Ablyze,140211,239
Ablyze,140212,0
Activage,140001,0
Activage,140002,0
Activage,140003,0
Activage,140004,0
Activage,140005,0
Activage,140006,0
Activage,140007,0
Activage,140008,0
Activage,140009,0
Activage,140010,0
Activage,140011,0
Activage,140012,0
Activage,140101,0
Activage,140102,0
Activage,140103,0
Activage,140104,0
Activage,140105,0
Activage,140106,0
Activage,140107,0
Activage,140108,67
Activage,140109,535
Activage,140110,1015
Activage,140111,1645
Activage,140112,2050
Activage,140201,990
Activage,140202,2325
Activage,140203,3551
Activage,140204,5153
Activage,140205,4291
Activage,140206,4459
Activage,140207,4776
Activage,140208,7552
Activage,140209,7066
Activage,140210,9252
Activage,140211,7378
Activage,140212,151
Alcarisa 16,140001,0
Alcarisa 16,140002,0
Alcarisa 16,140003,0
Alcarisa 16,140004,0
Alcarisa 16,140005,0
Alcarisa 16,140006,0
Alcarisa 16,140007,0
Alcarisa 16,140008,0
Alcarisa 16,140009,0
Alcarisa 16,140010,0
Alcarisa 16,140011,0
Alcarisa 16,140012,0
Alcarisa 16,140101,0
Alcarisa 16,140102,0
Alcarisa 16,140103,0
Alcarisa 16,140104,0
Alcarisa 16,140105,0
Alcarisa 16,140106,0
Alcarisa 16,140107,0
Alcarisa 16,140108,0
Alcarisa 16,140109,0
Alcarisa 16,140110,0
Alcarisa 16,140111,0
Alcarisa 16,140112,0
Alcarisa 16,140201,1
Alcarisa 16,140202,0
Alcarisa 16,140203,1
Alcarisa 16,140204,13
Alcarisa 16,140205,5
Alcarisa 16,140206,14
Alcarisa 16,140207,16
Alcarisa 16,140208,81
Alcarisa 16,140209,104
Alcarisa 16,140210,38
Alcarisa 16,140211,110
Alcarisa 16,140212,1
Alcarisa 20,140001,0
Alcarisa 20,140002,0
Alcarisa 20,140003,0
Alcarisa 20,140004,0
Alcarisa 20,140005,0
Alcarisa 20,140006,0
Alcarisa 20,140007,0
Alcarisa 20,140008,0
Alcarisa 20,140009,0
Alcarisa 20,140010,0
Alcarisa 20,140011,0
Alcarisa 20,140012,0
Alcarisa 20,140101,0
Alcarisa 20,140102,0
Alcarisa 20,140103,0
Alcarisa 20,140104,0
Alcarisa 20,140105,0
Alcarisa 20,140106,0
Alcarisa 20,140107,0
Alcarisa 20,140108,0
Alcarisa 20,140109,0
Alcarisa 20,140110,0
Alcarisa 20,140111,0
Alcarisa 20,140112,0
Alcarisa 20,140201,1
Alcarisa 20,140202,0
Alcarisa 20,140203,1
Alcarisa 20,140204,11
Alcarisa 20,140205,41
Alcarisa 20,140206,22
Alcarisa 20,140207,10
Alcarisa 20,140208,69
Alcarisa 20,140209,105
Alcarisa 20,140210,84
Alcarisa 20,140211,336
Alcarisa 20,140212,0
Alcarisa 24,140001,0
Alcarisa 24,140002,0
Alcarisa 24,140003,0
Alcarisa 24,140004,0
Alcarisa 24,140005,0
Alcarisa 24,140006,0
Alcarisa 24,140007,0
Alcarisa 24,140008,0
Alcarisa 24,140009,0
Alcarisa 24,140010,0
Alcarisa 24,140011,0
Alcarisa 24,140012,0
Alcarisa 24,140101,0
Alcarisa 24,140102,0
Alcarisa 24,140103,0
Alcarisa 24,140104,0
Alcarisa 24,140105,0
Alcarisa 24,140106,0
Alcarisa 24,140107,0
Alcarisa 24,140108,0
Alcarisa 24,140109,0
Alcarisa 24,140110,0
Alcarisa 24,140111,0
Alcarisa 24,140112,0
Alcarisa 24,140201,1
Alcarisa 24,140202,0
Alcarisa 24,140203,7
