product,date,sales,dept,yaer,type
Zytux 500,139302,201,انکولوژی بیولوژیک,1393,actual
Zytux 500,139303,348,انکولوژی بیولوژیک,1393,actual
Zytux 500,139304,274,انکولوژی بیولوژیک,1393,actual
Zytux 500,139305,567,انکولوژی بیولوژیک,1393,actual
Zytux 500,139306,399,انکولوژی بیولوژیک,1393,actual
Zytux 500,139307,423,انکولوژی بیولوژیک,1393,actual
Zytux 500,139308,359,انکولوژی بیولوژیک,1393,actual
Zytux 500,139309,761,انکولوژی بیولوژیک,1393,actual
Zytux 500,139310,755,انکولوژی بیولوژیک,1393,actual
Zytux 500,139311,1380,انکولوژی بیولوژیک,1393,actual
Zytux 500,139312,1008,انکولوژی بیولوژیک,1393,actual
Zytux 500,139401,841,انکولوژی بیولوژیک,1394,actual
Zytux 500,139402,732,انکولوژی بیولوژیک,1394,actual
Zytux 500,139403,1548,انکولوژی بیولوژیک,1394,actual
Zytux 500,139404,1394,انکولوژی بیولوژیک,1394,actual
Zytux 500,139405,857,انکولوژی بیولوژیک,1394,actual
Zytux 500,139406,131,انکولوژی بیولوژیک,1394,actual
Zytux 500,139407,2,انکولوژی بیولوژیک,1394,actual
Zytux 500,139408,539,انکولوژی بیولوژیک,1394,actual
Zytux 500,139409,426,انکولوژی بیولوژیک,1394,actual
Zytux 500,139410,711,انکولوژی بیولوژیک,1394,actual
Zytux 500,139411,650,انکولوژی بیولوژیک,1394,actual
Zytux 500,139412,616,انکولوژی بیولوژیک,1394,actual
Zytux 500,139501,1178,انکولوژی بیولوژیک,1395,actual
Zytux 500,139502,1643,انکولوژی بیولوژیک,1395,actual
Zytux 500,139503,2812,انکولوژی بیولوژیک,1395,actual
Zytux 500,139504,2365,انکولوژی بیولوژیک,1395,actual
Zytux 500,139505,2086,انکولوژی بیولوژیک,1395,actual
Zytux 500,139506,3191,انکولوژی بیولوژیک,1395,actual
Zytux 500,139507,2205,انکولوژی بیولوژیک,1395,actual
Zytux 500,139508,2344,انکولوژی بیولوژیک,1395,actual
Zytux 500,139509,1824,انکولوژی بیولوژیک,1395,actual
Zytux 500,139510,2898,انکولوژی بیولوژیک,1395,actual
Zytux 500,139511,2652,انکولوژی بیولوژیک,1395,actual
Zytux 500,139512,2894,انکولوژی بیولوژیک,1395,actual
Zytux 500,139601,1949,انکولوژی بیولوژیک,1396,actual
Zytux 500,139602,3531,انکولوژی بیولوژیک,1396,actual
Zytux 500,139603,4174,انکولوژی بیولوژیک,1396,actual
Zytux 500,139604,3848,انکولوژی بیولوژیک,1396,actual
Zytux 500,139605,3597,انکولوژی بیولوژیک,1396,actual
Zytux 500,139606,4138,انکولوژی بیولوژیک,1396,actual
Zytux 500,139607,3862,انکولوژی بیولوژیک,1396,actual
Zytux 500,139608,3837,انکولوژی بیولوژیک,1396,actual
Zytux 500,139609,3175,انکولوژی بیولوژیک,1396,actual
Zytux 500,139610,4249,انکولوژی بیولوژیک,1396,actual
Zytux 500,139611,6024,انکولوژی بیولوژیک,1396,actual
Zytux 500,139612,6674,انکولوژی بیولوژیک,1396,actual
Zytux 500,139701,3092,انکولوژی بیولوژیک,1397,actual
Zytux 500,139702,5808,انکولوژی بیولوژیک,1397,actual
Zytux 500,139703,5340,انکولوژی بیولوژیک,1397,actual
Zytux 500,139704,5434,انکولوژی بیولوژیک,1397,actual
Zytux 500,139705,9332,انکولوژی بیولوژیک,1397,actual
Zytux 500,139706,7667,انکولوژی بیولوژیک,1397,actual
Zytux 500,139707,8300,انکولوژی بیولوژیک,1397,actual
Zytux 500,139708,8173,انکولوژی بیولوژیک,1397,actual
Zytux 500,139709,7428,انکولوژی بیولوژیک,1397,actual
Zytux 500,139710,5925,انکولوژی بیولوژیک,1397,actual
Zytux 500,139711,7221,انکولوژی بیولوژیک,1397,actual
Zytux 500,139712,8693,انکولوژی بیولوژیک,1397,actual
Zytux 500,139801,4877,انکولوژی بیولوژیک,1398,actual
Zytux 500,139802,8132,انکولوژی بیولوژیک,1398,actual
Zytux 500,139803,8481,انکولوژی بیولوژیک,1398,actual
Zytux 500,139804,9957,انکولوژی بیولوژیک,1398,actual
Zytux 500,139805,8356,انکولوژی بیولوژیک,1398,actual
Zytux 500,139806,9927,انکولوژی بیولوژیک,1398,actual
Zytux 500,139807,6790,انکولوژی بیولوژیک,1398,actual
Zytux 500,139808,8317,انکولوژی بیولوژیک,1398,actual
Zytux 500,139809,8980,انکولوژی بیولوژیک,1398,actual
Zytux 500,139810,10037,انکولوژی بیولوژیک,1398,actual
Zytux 500,139811,8477,انکولوژی بیولوژیک,1398,actual
Zytux 500,139812,5900,انکولوژی بیولوژیک,1398,actual
Zytux 500,139901,3753,انکولوژی بیولوژیک,1399,actual
Zytux 500,139902,7346,انکولوژی بیولوژیک,1399,actual
Zytux 500,139903,7347,انکولوژی بیولوژیک,1399,actual
Zytux 500,139904,9572,انکولوژی بیولوژیک,1399,actual
Zytux 500,139905,9616,انکولوژی بیولوژیک,1399,actual
Zytux 500,139906,8160,انکولوژی بیولوژیک,1399,actual
Zytux 500,139907,7476,انکولوژی بیولوژیک,1399,actual
Zytux 500,139908,6713,انکولوژی بیولوژیک,1399,actual
Zytux 500,139909,7068,انکولوژی بیولوژیک,1399,actual
Zytux 500,139910,7787,انکولوژی بیولوژیک,1399,actual
Zytux 500,139911,9970,انکولوژی بیولوژیک,1399,actual
Zytux 500,139912,8166,انکولوژی بیولوژیک,1399,actual
Zytux 500,140001,4533,انکولوژی بیولوژیک,1400,actual
Zytux 500,140002,5127,انکولوژی بیولوژیک,1400,actual
Zytux 500,140003,7819,انکولوژی بیولوژیک,1400,actual
Zytux 500,140004,9297,انکولوژی بیولوژیک,1400,actual
Zytux 500,140005,11036,انکولوژی بیولوژیک,1400,actual
Zytux 500,140006,10669,انکولوژی بیولوژیک,1400,actual
Zytux 500,140007,9126,انکولوژی بیولوژیک,1400,actual
Zytux 500,140008,8076,انکولوژی بیولوژیک,1400,actual
Zytux 500,140009,8638,انکولوژی بیولوژیک,1400,actual
Zytux 500,140010,9449,انکولوژی بیولوژیک,1400,actual
Zytux 500,140011,9374,انکولوژی بیولوژیک,1400,actual
Zytux 500,140012,9037,انکولوژی بیولوژیک,1400,actual
Zytux 500,140101,8564,انکولوژی بیولوژیک,1401,actual
Zytux 500,140102,10735,انکولوژی بیولوژیک,1401,actual
Zytux 500,140103,11776,انکولوژی بیولوژیک,1401,actual
Zytux 500,140104,12855,انکولوژی بیولوژیک,1401,actual
Zytux 500,140105,10297,انکولوژی بیولوژیک,1401,actual
Zytux 500,140106,11319,انکولوژی بیولوژیک,1401,actual
Zytux 500,140107,11830,انکولوژی بیولوژیک,1401,actual
Zytux 500,140108,11663,انکولوژی بیولوژیک,1401,actual
Zytux 500,140109,12025,انکولوژی بیولوژیک,1401,actual
Zytux 500,140110,15026,انکولوژی بیولوژیک,1401,actual
Zytux 500,140111,10215,انکولوژی بیولوژیک,1401,actual
Zytux 500,140112,11246,انکولوژی بیولوژیک,1401,actual
Zytux 500,140201,6910,انکولوژی بیولوژیک,1402,actual
Zytux 500,140202,11928,انکولوژی بیولوژیک,1402,actual
Zytux 500,140203,10691,انکولوژی بیولوژیک,1402,actual
Zytux 500,140204,11374,انکولوژی بیولوژیک,1402,actual
Zytux 500,140205,14419,انکولوژی بیولوژیک,1402,actual
Zytux 500,140206,14875,انکولوژی بیولوژیک,1402,actual
Zytux 500,140207,12129,انکولوژی بیولوژیک,1402,actual
Zytux 500,140208,13442,انکولوژی بیولوژیک,1402,actual
Zytux 500,140209,15434,انکولوژی بیولوژیک,1402,actual
Zytux 500,140210,13231,انکولوژی بیولوژیک,1402,actual
Zytux 500,140211,13413,انکولوژی بیولوژیک,1402,actual
Zytux 500,140212,2212,انکولوژی بیولوژیک,1402,actual
Zytux 100,139211,172,انکولوژی بیولوژیک,1392,actual
Zytux 100,139212,22,انکولوژی بیولوژیک,1392,actual
Zytux 100,139301,24,انکولوژی بیولوژیک,1393,actual
Zytux 100,139302,1276,انکولوژی بیولوژیک,1393,actual
Zytux 100,139303,1192,انکولوژی بیولوژیک,1393,actual
Zytux 100,139304,570,انکولوژی بیولوژیک,1393,actual
Zytux 100,139305,890,انکولوژی بیولوژیک,1393,actual
Zytux 100,139306,692,انکولوژی بیولوژیک,1393,actual
Zytux 100,139307,1238,انکولوژی بیولوژیک,1393,actual
Zytux 100,139308,1294,انکولوژی بیولوژیک,1393,actual
Zytux 100,139309,2068,انکولوژی بیولوژیک,1393,actual
Zytux 100,139310,914,انکولوژی بیولوژیک,1393,actual
Zytux 100,139311,1176,انکولوژی بیولوژیک,1393,actual
Zytux 100,139312,896,انکولوژی بیولوژیک,1393,actual
Zytux 100,139401,556,انکولوژی بیولوژیک,1394,actual
Zytux 100,139402,838,انکولوژی بیولوژیک,1394,actual
Zytux 100,139403,944,انکولوژی بیولوژیک,1394,actual
Zytux 100,139404,1444,انکولوژی بیولوژیک,1394,actual
Zytux 100,139405,1406,انکولوژی بیولوژیک,1394,actual
Zytux 100,139406,876,انکولوژی بیولوژیک,1394,actual
Zytux 100,139407,604,انکولوژی بیولوژیک,1394,actual
Zytux 100,139408,224,انکولوژی بیولوژیک,1394,actual
Zytux 100,139409,942,انکولوژی بیولوژیک,1394,actual
Zytux 100,139410,1045,انکولوژی بیولوژیک,1394,actual
Zytux 100,139411,867,انکولوژی بیولوژیک,1394,actual
Zytux 100,139412,624,انکولوژی بیولوژیک,1394,actual
Zytux 100,139501,944,انکولوژی بیولوژیک,1395,actual
Zytux 100,139502,1988,انکولوژی بیولوژیک,1395,actual
Zytux 100,139503,3608,انکولوژی بیولوژیک,1395,actual
Zytux 100,139504,3015,انکولوژی بیولوژیک,1395,actual
Zytux 100,139505,2351,انکولوژی بیولوژیک,1395,actual
Zytux 100,139506,3374,انکولوژی بیولوژیک,1395,actual
Zytux 100,139507,2162,انکولوژی بیولوژیک,1395,actual
Zytux 100,139508,2686,انکولوژی بیولوژیک,1395,actual
Zytux 100,139509,1864,انکولوژی بیولوژیک,1395,actual
Zytux 100,139510,2708,انکولوژی بیولوژیک,1395,actual
Zytux 100,139511,2887,انکولوژی بیولوژیک,1395,actual
Zytux 100,139512,2561,انکولوژی بیولوژیک,1395,actual
Zytux 100,139601,2546,انکولوژی بیولوژیک,1396,actual
Zytux 100,139602,3384,انکولوژی بیولوژیک,1396,actual
Zytux 100,139603,3970,انکولوژی بیولوژیک,1396,actual
Zytux 100,139604,3521,انکولوژی بیولوژیک,1396,actual
Zytux 100,139605,3068,انکولوژی بیولوژیک,1396,actual
Zytux 100,139606,3937,انکولوژی بیولوژیک,1396,actual
Zytux 100,139607,3281,انکولوژی بیولوژیک,1396,actual
Zytux 100,139608,3282,انکولوژی بیولوژیک,1396,actual
Zytux 100,139609,2396,انکولوژی بیولوژیک,1396,actual
Zytux 100,139610,3485,انکولوژی بیولوژیک,1396,actual
Zytux 100,139611,4212,انکولوژی بیولوژیک,1396,actual
Zytux 100,139612,5407,انکولوژی بیولوژیک,1396,actual
